;id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao
92409;57586284;5b30615c644b7b075bd32b227309d78f;92127264.0;1.0;8.7;f;0.0;8.2;0.0;APROVADO
92410;57586284;5b30615c644b7b075bd32b227309d78f;92127264.0;2.0;7.5;f;0.0;8.2;0.0;APROVADO
92411;57586284;5b30615c644b7b075bd32b227309d78f;92127264.0;3.0;8.3;f;0.0;8.2;0.0;APROVADO
92412;57586284;dd758682424873ed33c6caf13f046196;92127264.0;;;;;;;CANCELADO
398995;57586284;2e8fbcbafb4985ec387775a0466a76cd;92127264.0;1.0;5.2;f;0.0;6.4;0.0;APROVADO POR NOTA
398996;57586284;2e8fbcbafb4985ec387775a0466a76cd;92127264.0;2.0;8.0;f;0.0;6.4;0.0;APROVADO POR NOTA
398997;57586284;2e8fbcbafb4985ec387775a0466a76cd;92127264.0;3.0;6.1;f;0.0;6.4;0.0;APROVADO POR NOTA
398998;57586284;1ea845bec856c74ecee4c9aa5150379a;92127264.0;1.0;3.8;f;0.0;;0.0;CANCELADO
398999;57586284;1ea845bec856c74ecee4c9aa5150379a;92127264.0;2.0;;f;0.0;;0.0;CANCELADO
399000;57586284;1ea845bec856c74ecee4c9aa5150379a;92127264.0;3.0;;f;0.0;;0.0;CANCELADO
399001;57586284;29c131e1fa5dc358c33cf9868d079ca1;92127264.0;;;;;;;CANCELADO
399002;57586284;3e2fec9fda6ea2682c37efa89327a6c8;92127264.0;1.0;4.6;f;0.0;1.5;0.0;CANCELADO
399003;57586284;3e2fec9fda6ea2682c37efa89327a6c8;92127264.0;2.0;0.0;f;0.0;1.5;0.0;CANCELADO
399004;57586284;3e2fec9fda6ea2682c37efa89327a6c8;92127264.0;3.0;0.0;f;0.0;1.5;0.0;CANCELADO
399005;57586284;35a41fdcd22b22af9e0ac8a565a8246a;92127264.0;1.0;3.5;f;0.0;5.7;0.0;APROVADO POR NOTA
399006;57586284;35a41fdcd22b22af9e0ac8a565a8246a;92127264.0;2.0;5.0;f;0.0;5.7;0.0;APROVADO POR NOTA
399007;57586284;35a41fdcd22b22af9e0ac8a565a8246a;92127264.0;3.0;8.7;f;0.0;5.7;0.0;APROVADO POR NOTA
399008;57586284;b8c23eed97e672e3ac2859452cad617f;92127264.0;1.0;3.9;f;0.0;5.8;0.0;APROVADO POR NOTA
399009;57586284;b8c23eed97e672e3ac2859452cad617f;92127264.0;3.0;6.1;f;0.0;5.8;0.0;APROVADO POR NOTA
399010;57586284;b8c23eed97e672e3ac2859452cad617f;92127264.0;2.0;7.5;f;0.0;5.8;0.0;APROVADO POR NOTA
399011;57586284;a9dbf8aab17c36b6b00cce6544fe4605;92127264.0;1.0;8.5;f;0.0;7.6;0.0;APROVADO
399012;57586284;a9dbf8aab17c36b6b00cce6544fe4605;92127264.0;2.0;5.5;f;0.0;7.6;0.0;APROVADO
399013;57586284;a9dbf8aab17c36b6b00cce6544fe4605;92127264.0;3.0;8.7;f;0.0;7.6;0.0;APROVADO
399014;57586284;3067b925ebcfe7dce4bbb9f57d36d51c;92127264.0;;;;;;;DESISTENCIA
399015;57586284;05c2bb4a614bdb1f00b85c6ee9a5dede;92127264.0;1.0;6.2;f;0.0;7.3;0.0;APROVADO
399016;57586284;05c2bb4a614bdb1f00b85c6ee9a5dede;92127264.0;2.0;7.5;f;0.0;7.3;0.0;APROVADO
399017;57586284;05c2bb4a614bdb1f00b85c6ee9a5dede;92127264.0;3.0;8.3;f;0.0;7.3;0.0;APROVADO
399018;57586284;2b38209571817e6cd815cf58a8d3ec4e;92127264.0;;;;;;;TRANCADO
399019;57586284;57291c544f94bd1910c37fb5aedf0ce4;92127264.0;;;;;;;CANCELADO
399020;57586284;607d1a3badd705248da4a889aa397e51;92127264.0;;;;;;;DESISTENCIA
